Dates,New Cases Per Day,Deaths Per Day,Recovered Per Day,Total Cases,Total Deaths,Total Recovered,Active Cases
04-15-2020,31451.0,4591.0,2607.0,636350.0,28325.0,52096.0,555929.0
04-16-2020,31905.0,3857.0,3842.0,667801.0,32916.0,54703.0,580182.0
04-17-2020,32491.0,1891.0,6295.0,699706.0,36773.0,58545.0,604388.0
04-18-2020,26889.0,1997.0,5497.0,732197.0,38664.0,64840.0,628693.0
04-19-2020,25240.0,1433.0,1992.0,759086.0,40661.0,70337.0,648088.0
04-20-2020,27539.0,2350.0,2875.0,784326.0,42094.0,72329.0,669903.0
04-21-2020,28355.0,2178.0,2162.0,811865.0,44444.0,75204.0,692217.0
04-22-2020,28950.0,3332.0,2837.0,840220.0,46622.0,77366.0,716232.0
04-23-2020,36163.0,1995.0,18876.0,869170.0,49954.0,80203.0,739013.0
04-24-2020,32821.0,1806.0,1293.0,905333.0,51949.0,99079.0,754305.0
04-25-2020,27629.0,1126.0,6616.0,938154.0,53755.0,100372.0,784027.0
04-26-2020,22414.0,1378.0,4436.0,965783.0,54881.0,106988.0,803914.0
04-27-2020,24385.0,2096.0,4512.0,988197.0,56259.0,111424.0,820514.0
04-28-2020,27327.0,2612.0,4784.0,1012582.0,58355.0,115936.0,838291.0
04-29-2020,29515.0,2029.0,33227.0,1039909.0,60967.0,120720.0,858222.0
04-30-2020,34037.0,1947.0,10068.0,1069424.0,62996.0,153947.0,852481.0
05-01-2020,29078.0,1426.0,11367.0,1103461.0,64943.0,164015.0,874503.0
05-02-2020,25501.0,1313.0,4770.0,1132539.0,66369.0,175382.0,890788.0
